probe	id	pvalue	symbol	group
NM_005654		0.002241251	NR2F1	GSE43942_PEvC
NM_032664		0.002243319	FUT10	GSE43942_PEvC
NM_007327		0.002245662	GRIN1	GSE43942_PEvC
NM_152748		0.002263038	KIAA1324L	GSE43942_PEvC
NM_000426		0.002268842	LAMA2	GSE43942_PEvC
NM_001004439		0.002280768	ITGA11	GSE43942_PEvC
NM_001615		0.002293854	ACTG2	GSE43942_PEvC
NM_007046		0.002294274	EMILIN1	GSE43942_PEvC
AK090733		0.002298794	HMG20B	GSE43942_PEvC
NM_018950		0.002321194	HLA-F	GSE43942_PEvC
BC080541		0.002321493	ROR1	GSE43942_PEvC
XM_927609		0.002338059	LOC221710	GSE43942_PEvC
BC092482		0.002338998	GBA	GSE43942_PEvC
NM_021208		0.002344071	C9orf27	GSE43942_PEvC
NM_033293		0.002344344	CASP1	GSE43942_PEvC
BC069485		0.002356471	GP6	GSE43942_PEvC
NM_015719		0.002365894	COL5A3	GSE43942_PEvC
NM_005631		0.002371562	SMO	GSE43942_PEvC
BC069360		0.002382013	XCL2	GSE43942_PEvC
AL833472		0.002390295	NEK11	GSE43942_PEvC
NM_002069		0.00242007	GNAI1	GSE43942_PEvC
BC009739		0.002431484	HERPUD1	GSE43942_PEvC
NM_004356		0.002467014	CD81	GSE43942_PEvC
NM_033439		0.002489044	C9orf26	GSE43942_PEvC
NM_014552		0.002491648	GRHL1	GSE43942_PEvC
NM_005107		0.002509499	ENDOGL1	GSE43942_PEvC
BC034961		0.002513006	ENPP2	GSE43942_PEvC
NM_005431		0.002533138	XRCC2	GSE43942_PEvC
BX648745		0.00253564	TSHZ3	GSE43942_PEvC
BC000440		0.002554157	CBS	GSE43942_PEvC
NM_003068		0.002557332	SNAI2	GSE43942_PEvC
NM_015559		0.002559093	SETBP1	GSE43942_PEvC
NM_004159		0.002559855	PSMB8	GSE43942_PEvC
NM_005860		0.00256846	FSTL3	GSE43942_PEvC
BC037925		0.002582976	DHX32	GSE43942_PEvC
BC042458		0.002585943	PLEKHA1	GSE43942_PEvC
BC074912		0.002625173	TACR1	GSE43942_PEvC
BC002697		0.002629894	PPP1CB	GSE43942_PEvC
NM_001706		0.002631535	BCL6	GSE43942_PEvC
BC035125		0.002653049	C2orf32	GSE43942_PEvC
NM_032777		0.002653477	GPR124	GSE43942_PEvC
NM_022831		0.002663719	C1orf80	GSE43942_PEvC
