probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_2334242	0.00254	0.690607	CREB1	1385	GSE30186_PEvC
ILMN_1869130	0.00254	0.690607	NA	NA	GSE30186_PEvC
ILMN_1793413	0.00257	0.692129	LOC648521	NA	GSE30186_PEvC
ILMN_1809294	0.00258	0.692129	LOC647894	NA	GSE30186_PEvC
ILMN_1684086	0.00262	0.692129	BDKRB2	624	GSE30186_PEvC
ILMN_1906907	0.00262	0.692129	NA	NA	GSE30186_PEvC
ILMN_1679178	0.00263	0.692129	ATP5D	513	GSE30186_PEvC
ILMN_3261439	0.00265	0.692628	LOC100128098	NA	GSE30186_PEvC
ILMN_3247482	0.00267	0.692628	LOC100132475	NA	GSE30186_PEvC
ILMN_2112580	0.00268	0.692628	FCGR3A	2214	GSE30186_PEvC
ILMN_1754364	0.0027	0.693075	CPA1	1357	GSE30186_PEvC
ILMN_1787371	0.00273	0.693075	LOC648823	NA	GSE30186_PEvC
ILMN_1877102	0.00273	0.693075	NA	NA	GSE30186_PEvC
ILMN_1811133	0.00275	0.694233	LOC645464	NA	GSE30186_PEvC
ILMN_2384139	0.00277	0.694233	KLRC1	3821	GSE30186_PEvC
ILMN_1802831	0.00283	0.697852	MTMR12	54545	GSE30186_PEvC
ILMN_1748277	0.00285	0.697852	LOC253573	NA	GSE30186_PEvC
ILMN_1804448	0.00285	0.697852	MSI2	124540	GSE30186_PEvC
ILMN_1671076	0.00288	0.697852	BAI3	NA	GSE30186_PEvC
ILMN_1666839	0.00291	0.697852	LOC645262	NA	GSE30186_PEvC
ILMN_1722451	0.00295	0.697852	LOC652568	NA	GSE30186_PEvC
ILMN_1735042	0.00297	0.697852	OR4N4	283694	GSE30186_PEvC
ILMN_1658498	0.00297	0.697852	SLC44A3	126969	GSE30186_PEvC
ILMN_1728830	0.00298	0.697852	GRK5	2869	GSE30186_PEvC
ILMN_2166812	0.00298	0.697852	KIR2DS1	3806	GSE30186_PEvC
ILMN_3242530	0.00299	0.697852	NCRNA00099	NA	GSE30186_PEvC
ILMN_1666924	0.00299	0.697852	PINK1	65018	GSE30186_PEvC
ILMN_2405353	0.003	0.697852	SDK1	221935	GSE30186_PEvC
ILMN_3248500	0.00307	0.701972	LOC643955	NA	GSE30186_PEvC
ILMN_3246405	0.00309	0.701972	LOC100144604	NA	GSE30186_PEvC
ILMN_2382488	0.00312	0.701972	CTU2	348180	GSE30186_PEvC
ILMN_3238053	0.00314	0.701972	LOC100129211	NA	GSE30186_PEvC
ILMN_1769218	0.00314	0.701972	LOC732162	NA	GSE30186_PEvC
ILMN_1696699	0.00319	0.701972	FAM184A	79632	GSE30186_PEvC
ILMN_1670878	0.0032	0.701972	YTHDC1	91746	GSE30186_PEvC
ILMN_1773650	0.00321	0.701972	LRRN3	54674	GSE30186_PEvC
ILMN_1697764	0.00323	0.701972	HYDIN	54768	GSE30186_PEvC
ILMN_1656409	0.00324	0.701972	STON1-GTF2A1L	286749	GSE30186_PEvC
ILMN_1778168	0.00325	0.701972	ELMO2	63916	GSE30186_PEvC
ILMN_1671929	0.00325	0.701972	GPR52	9293	GSE30186_PEvC
ILMN_1674758	0.00326	0.701972	LOC392145	392145	GSE30186_PEvC
ILMN_1690298	0.00331	0.701972	LOC649406	NA	GSE30186_PEvC
ILMN_2113807	0.00331	0.701972	MYL2	4633	GSE30186_PEvC
ILMN_1785156	0.00332	0.701972	CASRL1	NA	GSE30186_PEvC
ILMN_3178553	0.00332	0.701972	LOC100128126	NA	GSE30186_PEvC
ILMN_1768112	0.00332	0.701972	LOC399753	NA	GSE30186_PEvC
ILMN_1662846	0.00335	0.703473	GPR160	26996	GSE30186_PEvC
ILMN_3205988	0.00339	0.703473	LOC100132356	100132356	GSE30186_PEvC
ILMN_1684653	0.0034	0.703473	GPR115	NA	GSE30186_PEvC
ILMN_3251398	0.00341	0.703473	LOC653240	NA	GSE30186_PEvC
ILMN_1787265	0.00341	0.703473	ZNF503	84858	GSE30186_PEvC
ILMN_1804907	0.00345	0.708629	OR1F2P	26184	GSE30186_PEvC
ILMN_1693587	0.00352	0.710568	DKFZp434N035	NA	GSE30186_PEvC
ILMN_1886655	0.00353	0.710568	NA	NA	GSE30186_PEvC
ILMN_3212013	0.0036	0.710568	LOC100133169	NA	GSE30186_PEvC
ILMN_1686988	0.0036	0.710568	ST5	6764	GSE30186_PEvC
ILMN_1818542	0.00361	0.710568	NA	NA	GSE30186_PEvC
ILMN_1673224	0.00366	0.710568	ARHGAP23	57636	GSE30186_PEvC
ILMN_2342271	0.00366	0.710568	BCL11A	53335	GSE30186_PEvC
ILMN_3236093	0.00366	0.710568	LOC647211	647211	GSE30186_PEvC
ILMN_1703324	0.00367	0.710568	PDSS1	23590	GSE30186_PEvC
ILMN_1661853	0.00368	0.710568	LOC642362	NA	GSE30186_PEvC
ILMN_1733426	0.00369	0.710568	KIR3DL3	115653	GSE30186_PEvC
ILMN_1858783	0.00369	0.710568	NA	NA	GSE30186_PEvC
ILMN_1710619	0.0037	0.710568	C17orf73	NA	GSE30186_PEvC
ILMN_1770719	0.0037	0.710568	KIAA0664	NA	GSE30186_PEvC
ILMN_3181916	0.00372	0.710568	LOC100129343	NA	GSE30186_PEvC
ILMN_1781060	0.00375	0.713635	SYN2	6854	GSE30186_PEvC
ILMN_3278538	0.00385	0.714469	LOC100131124	100131124	GSE30186_PEvC
ILMN_1732981	0.00386	0.714469	ZBTB32	27033	GSE30186_PEvC
ILMN_2388363	0.00387	0.714469	IMPDH1	3614	GSE30186_PEvC
ILMN_1671933	0.00392	0.714469	CLCC1	23155	GSE30186_PEvC
ILMN_2123312	0.00392	0.714469	LRAP	NA	GSE30186_PEvC
ILMN_1698996	0.00392	0.714469	SLC19A1	6573	GSE30186_PEvC
ILMN_1658426	0.00395	0.714469	WNT10A	80326	GSE30186_PEvC
ILMN_1798303	0.004	0.714469	RAET1G	353091	GSE30186_PEvC
ILMN_1691333	0.004	0.714469	ZNF57	126295	GSE30186_PEvC
ILMN_1912805	0.00402	0.714469	NA	NA	GSE30186_PEvC
ILMN_1808148	0.00403	0.714469	SMCHD1	23347	GSE30186_PEvC
ILMN_1698774	0.00405	0.714469	LOC650933	NA	GSE30186_PEvC
ILMN_3184894	0.00406	0.714469	LOC100127971	100127971	GSE30186_PEvC
ILMN_2412624	0.00406	0.714469	TP53I11	9537	GSE30186_PEvC
ILMN_2324202	0.0041	0.714469	GABRE	2564	GSE30186_PEvC
ILMN_1790160	0.00412	0.714469	KIT	3815	GSE30186_PEvC
ILMN_3245306	0.00415	0.714469	FOXI3	344167	GSE30186_PEvC
ILMN_1752008	0.00415	0.714469	OTUD1	220213	GSE30186_PEvC
ILMN_1741165	0.00416	0.714469	SLC11A1	6556	GSE30186_PEvC
ILMN_2408450	0.00416	0.714469	UBE1DC1	NA	GSE30186_PEvC
ILMN_2225144	0.0042	0.714469	EIF4E3	317649	GSE30186_PEvC
ILMN_3301193	0.00423	0.714469	LOC728942	NA	GSE30186_PEvC
ILMN_1833324	0.00424	0.714469	NA	NA	GSE30186_PEvC
ILMN_1692032	0.00425	0.714469	LOC644536	NA	GSE30186_PEvC
ILMN_1757081	0.00429	0.714469	SYN2	6854	GSE30186_PEvC
ILMN_2210386	0.00433	0.714469	TMEM17	200728	GSE30186_PEvC
ILMN_2151281	0.00442	0.714469	GABARAPL1	23710	GSE30186_PEvC
ILMN_3244960	0.00442	0.714469	NACC1	112939	GSE30186_PEvC
ILMN_1661342	0.00444	0.714469	Septin 6	NA	GSE30186_PEvC
ILMN_1797753	0.00445	0.714469	ARHGAP28	79822	GSE30186_PEvC
ILMN_1798700	0.00445	0.714469	CHRNA1	1134	GSE30186_PEvC
ILMN_3187403	0.00447	0.714469	LOC100129905	NA	GSE30186_PEvC
ILMN_1701112	0.0045	0.714469	LOC440944	NA	GSE30186_PEvC
ILMN_1757825	0.0045	0.714469	ZNF230	7773	GSE30186_PEvC
ILMN_3237971	0.00453	0.714469	SNORD11	692058	GSE30186_PEvC
ILMN_1675433	0.00456	0.714469	LOC646914	NA	GSE30186_PEvC
ILMN_1761058	0.0046	0.714469	ACAD11	84129	GSE30186_PEvC
ILMN_1794384	0.0046	0.714469	AMBN	258	GSE30186_PEvC
ILMN_2130078	0.00461	0.714469	CDKN2AIPNL	91368	GSE30186_PEvC
ILMN_3290232	0.00461	0.714469	LOC100131530	NA	GSE30186_PEvC
ILMN_1673667	0.00461	0.714469	LOC649396	NA	GSE30186_PEvC
ILMN_1716342	0.00463	0.714469	CCDC132	NA	GSE30186_PEvC
ILMN_2250344	0.00463	0.714469	DACT1	51339	GSE30186_PEvC
ILMN_1665260	0.00463	0.714469	FLJ25996	NA	GSE30186_PEvC
ILMN_1813490	0.00463	0.714469	FSD1	79187	GSE30186_PEvC
ILMN_1734076	0.00463	0.714469	GPIHBP1	338328	GSE30186_PEvC
ILMN_1767263	0.00464	0.714469	LOC158301	NA	GSE30186_PEvC
ILMN_1795563	0.00465	0.714469	C10orf61	NA	GSE30186_PEvC
ILMN_2405305	0.00467	0.714469	ARNTL	406	GSE30186_PEvC
ILMN_1679494	0.00469	0.714469	LOC652127	NA	GSE30186_PEvC
ILMN_1668219	0.00474	0.714469	LOC729085	NA	GSE30186_PEvC
ILMN_1771051	0.00477	0.714469	RPL29	6159	GSE30186_PEvC
ILMN_1726152	0.00478	0.714469	C6orf123	NA	GSE30186_PEvC
ILMN_1711711	0.0048	0.714469	LOC375010	NA	GSE30186_PEvC
ILMN_3242325	0.00482	0.714469	BSPH1	100131137	GSE30186_PEvC
ILMN_2154322	0.00482	0.714469	SEMA3E	9723	GSE30186_PEvC
ILMN_1912710	0.00485	0.714469	NA	NA	GSE30186_PEvC
ILMN_1679262	0.00488	0.714469	DPYSL3	1809	GSE30186_PEvC
ILMN_1766123	0.00488	0.714469	FHIT	2272	GSE30186_PEvC
ILMN_1701477	0.00489	0.714469	CCDC101	NA	GSE30186_PEvC
ILMN_1773236	0.00489	0.714469	LOC163233	NA	GSE30186_PEvC
ILMN_3237656	0.0049	0.714469	LOC730313	NA	GSE30186_PEvC
ILMN_1765218	0.0049	0.714469	PRDM11	56981	GSE30186_PEvC
ILMN_1805404	0.00491	0.714469	GRIN1	2902	GSE30186_PEvC
ILMN_1883159	0.00491	0.714469	NA	NA	GSE30186_PEvC
ILMN_1722730	0.00493	0.714469	LOC654340	NA	GSE30186_PEvC
ILMN_3247552	0.00494	0.714469	KNCN	148930	GSE30186_PEvC
ILMN_3245600	0.00496	0.714469	LRRC37B2	NA	GSE30186_PEvC
ILMN_2138622	0.00499	0.714469	DKFZp686I15217	NA	GSE30186_PEvC
ILMN_1875967	0.005	0.714469	NA	NA	GSE30186_PEvC
ILMN_1841495	0.00501	0.714469	LHFPL4	375323	GSE30186_PEvC
ILMN_1758025	0.00502	0.714469	LOC645659	NA	GSE30186_PEvC
ILMN_2042941	0.00506	0.714469	TMEM159	57146	GSE30186_PEvC
ILMN_3279979	0.00509	0.714469	LOC644754	NA	GSE30186_PEvC
ILMN_1804328	0.00509	0.714469	WWP1	11059	GSE30186_PEvC
ILMN_2174805	0.0051	0.714469	CD300LG	146894	GSE30186_PEvC
ILMN_1679837	0.0051	0.714469	SGPP1	81537	GSE30186_PEvC
ILMN_2377669	0.00514	0.714469	CD247	919	GSE30186_PEvC
ILMN_1694476	0.00519	0.714469	HMBS	3145	GSE30186_PEvC
ILMN_1733998	0.00521	0.714469	DHRS9	10170	GSE30186_PEvC
ILMN_2078547	0.00523	0.714469	HSPC268	NA	GSE30186_PEvC
ILMN_1746085	0.00523	0.714469	IGFBP3	3486	GSE30186_PEvC
ILMN_1678808	0.00524	0.714469	KIAA0831	NA	GSE30186_PEvC
ILMN_1655428	0.00527	0.714469	LOC442711	NA	GSE30186_PEvC
ILMN_1784176	0.00528	0.714469	ABCA5	23461	GSE30186_PEvC
ILMN_3273257	0.00529	0.714469	LOC100130691	100130691	GSE30186_PEvC
ILMN_1779711	0.00531	0.714469	DTL	51514	GSE30186_PEvC
ILMN_3220268	0.00538	0.714469	LOC441416	NA	GSE30186_PEvC
ILMN_1667650	0.00538	0.714469	LOC642365	NA	GSE30186_PEvC
ILMN_2215103	0.00538	0.714469	LOC644152	NA	GSE30186_PEvC
ILMN_2307851	0.00538	0.714469	NPFFR2	10886	GSE30186_PEvC
ILMN_2215382	0.00539	0.714469	DDX51	317781	GSE30186_PEvC
ILMN_1716275	0.00539	0.714469	LOC440361	NA	GSE30186_PEvC
ILMN_1802942	0.00541	0.714469	C6orf25	NA	GSE30186_PEvC
ILMN_3239383	0.00546	0.714469	CA5BP	NA	GSE30186_PEvC
ILMN_3238676	0.00546	0.714469	ULBP2	80328	GSE30186_PEvC
ILMN_1869343	0.0055	0.714469	NA	NA	GSE30186_PEvC
ILMN_1872539	0.00558	0.714469	NA	NA	GSE30186_PEvC
ILMN_3265183	0.00562	0.714469	LOC100129285	NA	GSE30186_PEvC
ILMN_1704627	0.00564	0.714469	LOC642340	NA	GSE30186_PEvC
ILMN_1912333	0.00564	0.714469	NA	NA	GSE30186_PEvC
ILMN_1726666	0.00565	0.714469	GPX3	2878	GSE30186_PEvC
ILMN_1690636	0.00569	0.714469	ALS2CL	259173	GSE30186_PEvC
ILMN_1779989	0.00572	0.714469	GLI1	2735	GSE30186_PEvC
ILMN_1669878	0.00581	0.714469	GUSB	2990	GSE30186_PEvC
ILMN_1692762	0.00583	0.714469	LOC649527	NA	GSE30186_PEvC
ILMN_2059173	0.00585	0.714469	SLC35E1	79939	GSE30186_PEvC
ILMN_1738598	0.00586	0.714469	LOC651483	NA	GSE30186_PEvC
ILMN_1658576	0.00586	0.714469	PTPRN	5798	GSE30186_PEvC
ILMN_2363231	0.00586	0.714469	SMAP1	60682	GSE30186_PEvC
ILMN_1704134	0.00588	0.714469	FAM7A2	NA	GSE30186_PEvC
ILMN_1663945	0.00588	0.714469	PTPN20B	NA	GSE30186_PEvC
ILMN_2395204	0.00589	0.714469	SLTM	79811	GSE30186_PEvC
ILMN_1889767	0.00594	0.714469	NA	NA	GSE30186_PEvC
ILMN_2048591	0.00596	0.714469	LRRN3	54674	GSE30186_PEvC
ILMN_1776649	0.00597	0.714469	LRRK2	120892	GSE30186_PEvC
ILMN_1910292	0.00597	0.714469	NA	NA	GSE30186_PEvC
ILMN_1728894	0.00599	0.714469	OR4A5	81318	GSE30186_PEvC
ILMN_3238803	0.006	0.714469	RASAL3	64926	GSE30186_PEvC
ILMN_3245209	0.00601	0.714469	MT1IP	644314	GSE30186_PEvC
ILMN_1704943	0.00602	0.714469	GPN3	51184	GSE30186_PEvC
ILMN_1786310	0.00604	0.714469	MVK	4598	GSE30186_PEvC
ILMN_1696316	0.00605	0.714469	CPT1A	1374	GSE30186_PEvC
ILMN_1696682	0.00611	0.714469	ABLIM1	3983	GSE30186_PEvC
ILMN_1838166	0.00612	0.714469	NA	NA	GSE30186_PEvC
ILMN_1729546	0.00613	0.714469	C19orf54	284325	GSE30186_PEvC
ILMN_3235410	0.00614	0.714469	HIATL2	NA	GSE30186_PEvC
ILMN_1674756	0.00616	0.714469	FBXW12	285231	GSE30186_PEvC
ILMN_2256687	0.00616	0.714469	SOX6	55553	GSE30186_PEvC
ILMN_1691048	0.0062	0.714469	SLC22A18AS	5003	GSE30186_PEvC
ILMN_1779416	0.00623	0.714469	SCUBE2	57758	GSE30186_PEvC
ILMN_2324162	0.00623	0.714469	SLC45A1	50651	GSE30186_PEvC
ILMN_2060578	0.00624	0.714469	INSL5	10022	GSE30186_PEvC
ILMN_1795119	0.00627	0.714469	MYH3	4621	GSE30186_PEvC
ILMN_1697959	0.00629	0.714469	SLC35B4	84912	GSE30186_PEvC
ILMN_1707088	0.0063	0.714469	DENND2D	79961	GSE30186_PEvC
