A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
-0.09	-0.22	-0.141	-1.64	-1.04	0.12545	0.31477	0.463887	0.842414	1.35	0.29247	0	0	NA	NA	NA
0.24	-0.316	0.47	-0.6	0.9	0.55555	0.38451	0.816024	0.869922	1.29	0.30856	0	0	NA	NA	NA
0.31	-0.351	-0.145	-0.64	-0.27	0.5301	0.79379	0.802485	0.968028	0.21	0.81018	0	0	NA	NA	NA
-0.19	-0.221	-0.294	-1.23	-1.64	0.23908	0.1244	0.589098	0.755207	1.42	0.27615	0	0	NA	NA	NA
0.4	0.883	0.701	1.64	1.3	0.1245	0.21497	0.463023	0.795332	1.46	0.26826	0	0	NA	NA	NA
0.03	-0.477	-0.315	-2.01	-1.33	0.06549	0.20692	0.365452	0.793738	2.05	0.16787	0	0	NA	NA	NA
0.2	0.255	0.11	1.15	0.5	0.27198	0.62787	0.618786	0.936376	0.67	0.52767	0	0	NA	NA	NA
-0.09	0.22	0.241	0.98	1.07	0.34479	0.30254	0.677648	0.839091	0.68	0.52258	0	0	NA	NA	NA
-0.31	0.411	0.308	1.13	0.84	0.28024	0.41376	0.626009	0.881233	0.67	0.52913	0	0	NA	NA	NA
0.08	0.206	0.348	0.61	1.03	0.55322	0.32171	0.815405	0.845474	0.53	0.60015	0	0	NA	NA	NA
0.03	-0.111	0.065	-0.33	0.19	0.74918	0.85164	0.912592	0.978199	0.15	0.85929	0	0	NA	NA	NA
-0.07	-0.472	-0.149	-3.25	-1.03	0.00613	0.32299	0.165181	0.846068	5.74	0.01601	0	0	NA	NA	NA
-0.11	-0.444	0.043	-0.58	0.06	0.57346	0.95657	0.824092	0.99427	0.27	0.76827	0	0	NA	NA	NA
-0.59	-0.114	-0.431	-0.19	-0.71	0.85382	0.49098	0.952926	0.906238	0.28	0.75908	0	0	NA	NA	NA
-0.13	0.323	-0.086	1.36	-0.36	0.19745	0.72313	0.548647	0.957196	1.82	0.20009	0	0	NA	NA	NA
-0.23	-0.404	-0.136	-1.11	-0.38	0.28532	0.71344	0.62936	0.955226	0.66	0.53177	0	0	NA	NA	NA
-0.16	-0.145	0.238	-0.22	0.36	0.82768	0.7225	0.942834	0.957196	0.2	0.82472	0	0	NA	NA	NA
0.22	0.019	0.124	0.1	0.65	0.92409	0.52656	0.976538	0.913555	0.26	0.77343	0	0	NA	NA	NA
-0.01	0.102	0.162	0.77	1.21	0.4565	0.24705	0.756251	0.812654	0.74	0.496	0	0	NA	NA	NA
-0.19	0.707	1.588	0.79	1.77	0.44452	0.09948	0.748548	0.735109	1.6	0.23922	0	0	NA	NA	NA
-0.12	-0.223	0.008	-1.32	0.05	0.20897	0.96437	0.559383	0.995575	1.31	0.3023	0	0	NA	NA	NA
0.11	0.413	0.555	1.84	2.47	0.08853	0.02783	0.406631	0.636615	3.21	0.07311	0	0	NA	NA	NA
-0.4	-0.464	0.069	-0.96	0.14	0.35424	0.88851	0.685334	0.984649	0.79	0.47345	0	0	NA	NA	NA
-0.09	-0.226	-0.04	-1.76	-0.31	0.10195	0.7627	0.431307	0.963939	1.87	0.19312	0	0	NA	NA	NA
-0.01	0.06	0.135	0.48	1.09	0.63695	0.29365	0.858214	0.835327	0.61	0.55842	0	0	NA	NA	NA
0.3	0.131	-0.123	0.33	-0.3	0.75016	0.76526	0.912827	0.964039	0.22	0.80286	0	0	NA	NA	NA
-0.17	-0.408	0.07	-1.25	0.22	0.23161	0.83176	0.581987	0.975521	1.39	0.28335	0	0	NA	NA	NA
0.1	0.088	0.025	0.53	0.15	0.60447	0.88056	0.84109	0.983683	0.16	0.85773	0	0	NA	NA	NA
0.26	0.113	0.03	0.46	0.12	0.65352	0.90584	0.866901	0.986711	0.12	0.88916	0	0	NA	NA	NA
-0.08	-0.134	0.023	-0.39	0.07	0.70038	0.94731	0.890024	0.992793	0.14	0.87371	0	0	NA	NA	NA
-0.06	0.456	0.244	2.54	1.36	0.02449	0.19787	0.260187	0.788792	3.22	0.07247	0	0	NA	NA	NA
-0.52	-0.439	-0.31	-2.73	-1.93	0.01694	0.07579	0.231964	0.718373	3.85	0.04814	0	0	NA	NA	NA
-0.15	-0.634	-0.284	-1.74	-0.78	0.10456	0.44891	0.436787	0.894193	1.54	0.24968	0	0	NA	NA	NA
-0.04	-0.869	-0.202	-1.05	-0.25	0.31082	0.81	0.650766	0.971938	0.64	0.5434	0	0	NA	NA	NA
0.01	-0.092	-0.072	-0.48	-0.37	0.63938	0.71467	0.859646	0.955627	0.12	0.88504	0	0	NA	NA	NA
-0.24	-0.223	-0.031	-1.8	-0.25	0.09388	0.80355	0.418457	0.970205	2.03	0.16967	0	0	NA	NA	NA
-0.07	-0.45	-0.135	-0.98	-0.29	0.34457	0.77272	0.677433	0.965162	0.53	0.60313	0	0	NA	NA	NA
0.06	-0.008	-0.086	-0.03	-0.34	0.97408	0.73612	0.993169	0.959903	0.08	0.92603	0	0	NA	NA	NA
0.03	-0.106	0.004	-0.44	0.02	0.66773	0.9859	0.874362	0.998623	0.15	0.86556	0	0	NA	NA	NA
-0.45	-0.451	-0.287	-1.26	-0.8	0.22784	0.43523	0.578915	0.889592	0.81	0.46697	0	0	NA	NA	NA
-0.04	0.045	-0.106	0.36	-0.85	0.72115	0.41223	0.89999	0.88062	0.86	0.44446	0	0	NA	NA	NA
0.49	-1.47	0.062	-1.77	0.08	0.09922	0.94124	0.427136	0.991804	2.38	0.13047	0	0	NA	NA	NA
0.2	0.115	-0.008	0.56	-0.04	0.58485	0.97092	0.830564	0.996249	0.24	0.78658	0	0	NA	NA	NA
0.02	-0.159	-0.132	-0.73	-0.61	0.47919	0.55381	0.769391	0.918548	0.29	0.7494	0	0	NA	NA	NA
0.07	0.314	0.204	1.94	1.26	0.07376	0.228	0.381557	0.801652	1.91	0.18677	0	0	NA	NA	NA
-0.28	-0.507	-0.238	-1.99	-0.94	0.06749	0.36597	0.370188	0.86218	2	0.17375	0	0	NA	NA	NA
-0.32	-0.528	0.408	-0.58	0.45	0.57091	0.66092	0.823424	0.944501	0.6	0.56341	0	0	NA	NA	NA
-0.35	0.342	0.281	1	0.82	0.33451	0.42545	0.670065	0.885835	0.55	0.58814	0	0	NA	NA	NA
-0.19	-0.334	-0.133	-2.63	-1.05	0.02044	0.31403	0.2446	0.842414	3.59	0.05682	0	0	NA	NA	NA
