A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
0.65	-0.05	0.222	-0.14	0.62	0.89176	0.54719	0.96533	0.916814	0.36	0.70511	0	0	NA	NA	NA
0.05	-0.05	-0.054	-0.38	-0.41	0.71042	0.68773	0.895456	0.948829	0.1	0.9047	0	0	NA	NA	NA
0.43	0.328	0.489	1.47	2.19	0.16573	0.04718	0.514281	0.681141	2.44	0.12536	0	0	NA	NA	NA
0.07	0.002	-0.102	0.01	-0.6	0.99211	0.56011	0.998626	0.920312	0.26	0.77247	0	0	NA	NA	NA
0.24	0.467	0.493	1.7	1.79	0.11301	0.09602	0.448262	0.732531	1.96	0.17941	0	0	NA	NA	NA
0.18	0.063	0.042	0.44	0.3	0.6679	0.77222	0.874362	0.965047	0.1	0.90714	0	0	NA	NA	NA
0.09	0.224	-0.036	1.71	-0.28	0.11016	0.78513	0.444685	0.967289	2.56	0.11488	0	0	NA	NA	NA
-0.06	-0.028	-0.058	-0.2	-0.42	0.84242	0.67859	0.948701	0.947424	0.09	0.91402	0	0	NA	NA	NA
0.37	0.034	-0.147	0.15	-0.65	0.88263	0.52375	0.962348	0.913555	0.41	0.67449	0	0	NA	NA	NA
0.5	0.25	0.472	0.95	1.79	0.35823	0.0956	0.688538	0.732531	1.61	0.23642	0	0	NA	NA	NA
0.22	0.237	0.05	1.24	0.26	0.23473	0.79575	0.58509	0.968212	0.91	0.42739	0	0	NA	NA	NA
0.15	0.249	0.097	1.54	0.6	0.14643	0.55925	0.490177	0.920242	1.24	0.3214	0	0	NA	NA	NA
-0.19	-0.133	0.035	-0.68	0.18	0.51052	0.86248	0.789806	0.980176	0.45	0.64748	0	0	NA	NA	NA
0.25	-0.373	0.075	-1.57	0.32	0.13965	0.75716	0.481556	0.962639	2.26	0.1434	0	0	NA	NA	NA
0.08	0.343	0.421	1.9	2.33	0.0794	0.03586	0.391987	0.659261	2.99	0.08481	0	0	NA	NA	NA
0.21	-0.036	-0.08	-0.19	-0.42	0.85442	0.67916	0.953005	0.947495	0.09	0.91352	0	0	NA	NA	NA
0.46	0.031	0.134	0.14	0.6	0.8915	0.56038	0.96521	0.920312	0.21	0.817	0	0	NA	NA	NA
0.1	-0.02	0.4	-0.05	0.99	0.9614	0.33814	0.988935	0.85172	0.76	0.48906	0	0	NA	NA	NA
0.17	0.024	-0.044	0.15	-0.28	0.87934	0.78734	0.961426	0.967289	0.11	0.89986	0	0	NA	NA	NA
-0.04	0.073	0.061	0.53	0.44	0.60274	0.66354	0.839925	0.944624	0.16	0.85533	0	0	NA	NA	NA
-0.15	-0.006	0.325	-0.02	1.25	0.98116	0.23271	0.995156	0.804447	1.16	0.34463	0	0	NA	NA	NA
0.61	-0.355	0.149	-0.59	0.25	0.56716	0.80956	0.821388	0.971878	0.41	0.6726	0	0	NA	NA	NA
-0.11	-0.037	0.107	-0.28	0.81	0.7843	0.43199	0.926712	0.888404	0.71	0.50788	0	0	NA	NA	NA
0.15	0.12	0.095	0.68	0.54	0.51115	0.59883	0.790235	0.930708	0.25	0.78438	0	0	NA	NA	NA
0.05	-0.39	0.011	-1.32	0.04	0.20983	0.97023	0.559754	0.996174	1.3	0.30573	0	0	NA	NA	NA
0	0.061	0.15	0.25	0.62	0.80407	0.54486	0.934653	0.9165	0.2	0.82179	0	0	NA	NA	NA
-0.11	-0.066	0.04	-0.47	0.28	0.64924	0.78267	0.864838	0.966748	0.32	0.73219	0	0	NA	NA	NA
0.15	0.348	-0.047	1.22	-0.16	0.24394	0.87193	0.593313	0.982619	1.26	0.31658	0	0	NA	NA	NA
0.39	0.35	1.143	0.78	2.55	0.44773	0.02373	0.750238	0.623532	3.55	0.05813	0	0	NA	NA	NA
0.09	-0.188	0.411	-0.29	0.63	0.77778	0.53964	0.924269	0.91565	0.49	0.62189	0	0	NA	NA	NA
-0.01	-0.179	0.793	-0.58	2.58	0.57142	0.02263	0.823424	0.623532	6.25	0.01221	0	0	NA	NA	NA
0.05	-0.256	-0.014	-1.54	-0.09	0.14806	0.9326	0.491786	0.990761	1.6	0.23754	0	0	NA	NA	NA
-0.03	-0.065	-0.041	-0.62	-0.39	0.54401	0.70385	0.809964	0.95304	0.2	0.82499	0	0	NA	NA	NA
0.03	-0.01	0.029	-0.1	0.31	0.92035	0.76497	0.974896	0.964039	0.1	0.90565	0	0	NA	NA	NA
-0.05	0.123	0.006	0.94	0.04	0.36186	0.96622	0.691502	0.995713	0.61	0.55608	0	0	NA	NA	NA
-0.14	-0.124	1.105	-0.3	2.68	0.76869	0.01848	0.919959	0.605712	5.92	0.01451	0	0	NA	NA	NA
-0.02	-0.196	-0.154	-1.42	-1.11	0.17788	0.28473	0.526979	0.831273	1.09	0.36507	0	0	NA	NA	NA
0.07	0.164	0.194	0.79	0.94	0.44134	0.36237	0.74615	0.86114	0.5	0.61895	0	0	NA	NA	NA
0.23	-0.11	-0.04	-0.71	-0.26	0.48889	0.80002	0.7768	0.96932	0.27	0.76974	0	0	NA	NA	NA
0.01	0.054	0.309	0.45	2.55	0.65988	0.02367	0.870398	0.623532	3.94	0.04529	0	0	NA	NA	NA
-0.03	-0.161	0.037	-1.28	0.29	0.22306	0.77484	0.573289	0.965251	1.54	0.2497	0	0	NA	NA	NA
-0.1	-0.01	0.018	-0.1	0.19	0.92199	0.85513	0.975612	0.978637	0.05	0.95406	0	0	NA	NA	NA
-0.25	0.057	0.269	0.36	1.7	0.7245	0.11298	0.901664	0.747733	1.69	0.22264	0	0	NA	NA	NA
0.18	-0.46	-0.217	-1.45	-0.68	0.17075	0.50593	0.519567	0.91031	1.06	0.37426	0	0	NA	NA	NA
-0.06	-0.17	-0.107	-1.7	-1.07	0.11154	0.30493	0.446724	0.839091	1.46	0.2665	0	0	NA	NA	NA
0.17	-0.052	0.407	-0.26	2.05	0.79949	0.06093	0.93246	0.70261	3.51	0.05987	0	0	NA	NA	NA
0.11	-0.51	0.49	-1.9	1.82	0.07988	0.09095	0.392865	0.728678	7.78	0.0058	0	0	NA	NA	NA
0.14	-0.475	0.549	-1.28	1.48	0.22146	0.16101	0.571513	0.770256	4.31	0.03599	0	0	NA	NA	NA
-0.07	-0.24	-0.284	-1.63	-1.92	0.12629	0.076	0.464822	0.718373	2.08	0.16371	0	0	NA	NA	NA
0.55	0.505	0.379	1.6	1.2	0.13275	0.25023	0.47357	0.814555	1.35	0.29183	0	0	NA	NA	NA
0.23	-0.922	0.438	-2.22	1.06	0.04412	0.3096	0.315672	0.841095	6.27	0.01209	0	0	NA	NA	NA
0.19	-0.407	-0.169	-2.66	-1.11	0.01935	0.28863	0.240485	0.833117	3.64	0.05499	0	0	NA	NA	NA
-0.03	0.051	0.968	0.15	2.82	0.885	0.01418	0.96271	0.583794	5.44	0.01882	0	0	NA	NA	NA
0.22	0.336	0.265	3.1	2.45	0.00828	0.02901	0.185584	0.642597	5.18	0.02169	0	0	NA	NA	NA
-0.48	-0.304	0.208	-0.67	0.46	0.51555	0.65483	0.792886	0.942676	0.72	0.50503	0	0	NA	NA	NA
0.09	0.177	0.5	0.55	1.55	0.59219	0.14528	0.834322	0.760911	1.27	0.31364	0	0	NA	NA	NA
0.06	-0.407	0.142	-1.1	0.38	0.29012	0.70738	0.633944	0.953747	1.32	0.29903	0	0	NA	NA	NA
0.36	0.013	0.8	0.07	4.31	0.94491	0.00081	0.983443	0.445602	13.2	7e-04	0	0	NA	NA	NA
0.34	0.864	0.805	1.44	1.34	0.17441	0.20382	0.523447	0.79123	1.24	0.32082	0	0	NA	NA	NA
0.29	-0.013	0.072	-0.06	0.31	0.95589	0.75832	0.987323	0.962809	0.09	0.9164	0	0	NA	NA	NA
0.51	0.774	0.516	2.88	1.92	0.01258	0.07616	0.21177	0.718373	4.23	0.03787	0	0	NA	NA	NA
0.13	-0.144	-0.056	-1.03	-0.4	0.31944	0.69502	0.657225	0.950572	0.56	0.58584	0	0	NA	NA	NA
0.22	0.073	0.258	0.48	1.7	0.63737	0.11331	0.858458	0.747733	1.59	0.24044	0	0	NA	NA	NA
0.58	-1.266	0.195	-2.05	0.32	0.06068	0.75683	0.355448	0.962553	3.63	0.0552	0	0	NA	NA	NA
0.13	-0.336	0.204	-1.82	1.1	0.09191	0.29047	0.414089	0.833151	4.87	0.02591	0	0	NA	NA	NA
0.05	-0.638	0.255	-2.4	0.96	0.03175	0.35545	0.282151	0.858143	6.67	0.00986	0	0	NA	NA	NA
-0.09	-0.332	0.037	-1.38	0.15	0.19127	0.88086	0.542519	0.983702	1.56	0.24684	0	0	NA	NA	NA
-0.35	0.07	0.181	0.34	0.88	0.74194	0.39671	0.90999	0.876288	0.4	0.67823	0	0	NA	NA	NA
0.02	-0.209	0.17	-0.87	0.71	0.39726	0.48779	0.715444	0.905667	1.42	0.27538	0	0	NA	NA	NA
0.03	0.121	0.549	0.3	1.38	0.76569	0.19139	0.918571	0.783376	1.1	0.36106	0	0	NA	NA	NA
0.02	-0.027	0.039	-0.08	0.12	0.93737	0.90802	0.980699	0.986867	0.02	0.97804	0	0	NA	NA	NA
0	-0.119	0.067	-0.59	0.34	0.56268	0.74168	0.819086	0.960629	0.5	0.61897	0	0	NA	NA	NA
0.03	-0.006	0.119	-0.03	0.63	0.97298	0.53899	0.992968	0.915622	0.31	0.74147	0	0	NA	NA	NA
0.24	0.717	0.374	5.36	2.8	0.00012	0.01473	0.050786	0.591905	14.41	0.00047	0	0	NA	NA	NA
0.18	-0.745	0.345	-1.48	0.69	0.16179	0.50416	0.509888	0.909522	2.75	0.10045	0	0	NA	NA	NA
-0.12	-0.454	0.445	-0.68	0.67	0.50762	0.51608	0.788014	0.911741	1.02	0.3864	0	0	NA	NA	NA
-0.05	-0.111	-0.019	-0.88	-0.15	0.3923	0.88032	0.711952	0.983624	0.47	0.63298	0	0	NA	NA	NA
0.4	-0.165	0.423	-0.49	1.25	0.632	0.23213	0.855575	0.803478	1.8	0.20324	0	0	NA	NA	NA
0.09	-0.115	0.358	-0.44	1.38	0.66386	0.19032	0.872523	0.783123	2.01	0.17228	0	0	NA	NA	NA
0.32	-0.507	0.427	-1.05	0.88	0.31231	0.39213	0.651742	0.873389	2.11	0.16001	0	0	NA	NA	NA
0.28	-0.122	0.028	-0.27	0.06	0.79009	0.95114	0.928999	0.993494	0.07	0.93292	0	0	NA	NA	NA
-0.24	-0.214	-0.073	-1.04	-0.35	0.3189	0.73051	0.656862	0.958574	0.57	0.57753	0	0	NA	NA	NA
0.19	-0.278	-0.131	-1.09	-0.52	0.29459	0.61458	0.63712	0.933109	0.6	0.56237	0	0	NA	NA	NA
-0.42	-0.517	0.007	-2.36	0.03	0.03395	0.97612	0.287634	0.997189	4.1	0.04104	0	0	NA	NA	NA
0.23	-0.026	0.299	-0.23	2.7	0.81899	0.018	0.940278	0.604462	5.81	0.01541	0	0	NA	NA	NA
-0.69	-0.716	-0.377	-1.51	-0.79	0.15454	0.44068	0.500514	0.890795	1.14	0.34892	0	0	NA	NA	NA
0.21	0.043	-0.317	0.14	-1.05	0.88925	0.31406	0.964287	0.842414	0.93	0.42036	0	0	NA	NA	NA
0.05	-0.009	0.232	-0.05	1.18	0.96422	0.25774	0.9899	0.817173	1.06	0.37524	0	0	NA	NA	NA
-0.76	0.262	0.075	0.76	0.22	0.46108	0.83066	0.759315	0.97531	0.32	0.73295	0	0	NA	NA	NA
0.57	1.342	0.891	4.58	3.04	0.00049	0.0092	0.07046	0.572667	10.68	0.00172	0	0	NA	NA	NA
-0.2	0.114	0.194	0.44	0.74	0.67044	0.47193	0.875622	0.901461	0.27	0.76414	0	0	NA	NA	NA
0.03	0.047	-0.024	0.17	-0.09	0.86614	0.93099	0.956662	0.990393	0.04	0.96169	0	0	NA	NA	NA
0.63	0.999	0.906	4.96	4.49	0.00025	0.00057	0.06182	0.425611	14.47	0.00046	0	0	NA	NA	NA
-0.03	-0.275	-0.222	-1.97	-1.59	0.06977	0.13477	0.374356	0.759282	2.12	0.15842	0	0	NA	NA	NA
0.31	0.768	1.032	1.17	1.57	0.26294	0.13957	0.610643	0.759337	1.3	0.30552	0	0	NA	NA	NA
-0.38	0.394	0.265	1.58	1.07	0.13704	0.30487	0.478848	0.839091	1.28	0.31079	0	0	NA	NA	NA
-0.03	0.796	0.196	2.01	0.5	0.06508	0.62791	0.364603	0.936376	2.3	0.13868	0	0	NA	NA	NA
0.03	0.449	0.388	1.92	1.66	0.07717	0.12096	0.387566	0.752727	2.09	0.16261	0	0	NA	NA	NA
0.47	0.61	0.282	2.17	1	0.04912	0.33436	0.329771	0.850448	2.37	0.13141	0	0	NA	NA	NA
0.05	0.506	0.41	1.97	1.59	0.07053	0.13482	0.375781	0.759282	2.11	0.15959	0	0	NA	NA	NA
0.18	0.109	0.102	0.26	0.24	0.80201	0.81468	0.933604	0.972778	0.04	0.96136	0	0	NA	NA	NA
0.16	0.35	0.172	1.41	0.69	0.18158	0.50182	0.531391	0.908676	1	0.39396	0	0	NA	NA	NA
0.02	1.171	0.687	2.55	1.5	0.02389	0.15815	0.258303	0.768531	3.25	0.07074	0	0	NA	NA	NA
-0.65	0.126	0.05	0.3	0.12	0.76765	0.90681	0.919472	0.986711	0.05	0.9541	0	0	NA	NA	NA
-0.07	-0.113	-0.085	-0.9	-0.68	0.38293	0.50765	0.704799	0.91078	0.43	0.65897	0	0	NA	NA	NA
0.04	-0.076	-0.334	-0.3	-1.35	0.76514	0.19965	0.918359	0.789372	1.05	0.37592	0	0	NA	NA	NA
0.28	0.214	-0.184	0.81	-0.7	0.43219	0.49803	0.739481	0.907519	1.28	0.31046	0	0	NA	NA	NA
-0.01	0.326	0.355	1.72	1.87	0.10908	0.08307	0.444121	0.725507	2.09	0.16286	0	0	NA	NA	NA
0.46	0.377	-0.142	1.21	-0.46	0.24828	0.65522	0.597501	0.942883	1.65	0.22932	0	0	NA	NA	NA
0.01	-0.133	0.065	-0.36	0.18	0.72303	0.8633	0.900818	0.980531	0.17	0.84701	0	0	NA	NA	NA
0.26	0.114	-0.182	0.8	-1.27	0.43709	0.22483	0.74305	0.800384	2.46	0.1237	0	0	NA	NA	NA
-0.02	0.101	0.017	0.56	0.09	0.58761	0.92897	0.832225	0.989793	0.19	0.83015	0	0	NA	NA	NA
-0.11	0.116	0.086	0.82	0.61	0.42648	0.55403	0.736055	0.918563	0.35	0.70893	0	0	NA	NA	NA
0.36	0.335	-0.147	1.28	-0.56	0.22262	0.58244	0.572759	0.926875	1.99	0.175	0	0	NA	NA	NA
0.44	0.345	0.456	1.19	1.57	0.25625	0.13979	0.604004	0.759612	1.3	0.30388	0	0	NA	NA	NA
-0.08	-0.159	0.02	-1.14	0.14	0.27322	0.8869	0.620388	0.984405	1.09	0.36348	0	0	NA	NA	NA
-0.11	-0.164	0.046	-1.35	0.37	0.1999	0.71384	0.551009	0.955357	1.82	0.19962	0	0	NA	NA	NA
0.23	0.463	0.01	2.13	0.04	0.05269	0.96504	0.338075	0.995713	3.2	0.07352	0	0	NA	NA	NA
0.13	0.942	0.206	3.15	0.69	0.00749	0.50211	0.178621	0.908676	5.78	0.01567	0	0	NA	NA	NA
0.13	0.744	0.28	3.51	1.32	0.00374	0.20978	0.142026	0.793738	6.44	0.01107	0	0	NA	NA	NA
0.03	0.024	0.071	0.1	0.28	0.92526	0.78108	0.976891	0.96658	0.04	0.95805	0	0	NA	NA	NA
-0.45	0.357	0.425	1.52	1.81	0.15177	0.09361	0.496144	0.730474	1.82	0.19948	0	0	NA	NA	NA
-0.27	-0.503	-0.631	-2.13	-2.67	0.05225	0.01895	0.336965	0.609898	3.87	0.04739	0	0	NA	NA	NA
-0.12	0.17	-0.032	0.48	-0.09	0.63999	0.93066	0.859915	0.990347	0.21	0.81681	0	0	NA	NA	NA
-0.13	0.128	-0.143	0.45	-0.5	0.66051	0.62355	0.870789	0.935546	0.51	0.61182	0	0	NA	NA	NA
0.11	0.986	0.611	2.53	1.57	0.02465	0.14004	0.260187	0.759612	3.23	0.07204	0	0	NA	NA	NA
0.2	0.115	0.62	0.28	1.54	0.78012	0.14795	0.924823	0.762097	1.41	0.27754	0	0	NA	NA	NA
0.12	0.141	-0.005	0.46	-0.02	0.64983	0.9866	0.864894	0.998668	0.16	0.85158	0	0	NA	NA	NA
0.01	-0.325	-0.373	-1.61	-1.85	0.13126	0.08666	0.471349	0.726289	1.96	0.18019	0	0	NA	NA	NA
0.06	-0.027	-0.049	-0.07	-0.13	0.94473	0.90022	0.983443	0.986176	0.01	0.99187	0	0	NA	NA	NA
-0.24	0.31	0.046	1.1	0.16	0.29126	0.8734	0.63459	0.982619	0.75	0.49169	0	0	NA	NA	NA
-0.04	0.364	0.008	1.5	0.03	0.1573	0.97584	0.503931	0.997082	1.59	0.24073	0	0	NA	NA	NA
-0.14	-0.256	-0.141	-1.36	-0.75	0.19554	0.46696	0.546431	0.900007	0.93	0.41917	0	0	NA	NA	NA
-0.29	-0.405	-0.517	-1.47	-1.87	0.1659	0.08314	0.514644	0.725507	1.89	0.19011	0	0	NA	NA	NA
0.37	0.418	0.288	2.17	1.5	0.04868	0.15821	0.328409	0.768531	2.42	0.12742	0	0	NA	NA	NA
-0.19	0.072	-0.022	0.52	-0.16	0.60827	0.87694	0.843273	0.982886	0.28	0.75729	0	0	NA	NA	NA
-0.1	0.552	-0.108	2.6	-0.51	0.02155	0.61967	0.248843	0.934643	6.15	0.01285	0	0	NA	NA	NA
0.1	0.161	-0.132	1.01	-0.82	0.33272	0.42505	0.668474	0.885812	1.89	0.19019	0	0	NA	NA	NA
0.15	0.23	0.047	1.79	0.36	0.097	0.72216	0.422966	0.957196	1.88	0.19098	0	0	NA	NA	NA
-0.58	-0.062	-0.201	-0.25	-0.8	0.80995	0.43859	0.936927	0.889946	0.35	0.71283	0	0	NA	NA	NA
0.15	0.57	0.326	2.29	1.31	0.03882	0.21167	0.301079	0.794336	2.63	0.10921	0	0	NA	NA	NA
0	0.648	0.107	2.97	0.49	0.01065	0.63149	0.201682	0.936931	5.38	0.01945	0	0	NA	NA	NA
0.16	0.494	0.277	1.65	0.93	0.12158	0.36989	0.4593	0.863641	1.37	0.28833	0	0	NA	NA	NA
0	-0.105	0.094	-0.49	0.44	0.63153	0.66506	0.855246	0.944909	0.49	0.62288	0	0	NA	NA	NA
-0.46	0.084	0.194	0.36	0.84	0.72093	0.41613	0.899923	0.88266	0.36	0.70449	0	0	NA	NA	NA
0.02	0.52	0.235	1.63	0.73	0.12713	0.47562	0.466159	0.901969	1.35	0.2938	0	0	NA	NA	NA
-0.02	-0.084	-0.224	-0.43	-1.13	0.67759	0.27976	0.879024	0.829432	0.66	0.53103	0	0	NA	NA	NA
-0.27	-0.472	-0.448	-3.43	-3.25	0.00438	0.00619	0.148295	0.561066	7.18	0.0077	0	0	NA	NA	NA
0.09	0.043	-0.12	0.2	-0.54	0.84783	0.5951	0.950699	0.929322	0.33	0.7262	0	0	NA	NA	NA
0.39	-0.109	-0.491	-0.27	-1.22	0.79057	0.2447	0.929258	0.810478	0.86	0.4456	0	0	NA	NA	NA
0.01	-0.253	-0.102	-1.38	-0.56	0.18889	0.58449	0.539802	0.927191	0.99	0.39719	0	0	NA	NA	NA
-0.18	0.238	0.174	1.09	0.8	0.29362	0.43943	0.636303	0.890095	0.62	0.55087	0	0	NA	NA	NA
0.19	0.227	-0.044	1.23	-0.24	0.2397	0.81346	0.589598	0.972505	1.38	0.2864	0	0	NA	NA	NA
0.7	0.707	0.164	1.99	0.46	0.06764	0.65283	0.370527	0.942191	2.28	0.14085	0	0	NA	NA	NA
-0.1	0.047	-0.019	0.41	-0.17	0.68652	0.86948	0.882782	0.981799	0.2	0.82201	0	0	NA	NA	NA
-0.24	-0.285	-0.238	-1.01	-0.84	0.33069	0.41447	0.666623	0.881786	0.57	0.58035	0	0	NA	NA	NA
-0.57	0.213	0.267	0.33	0.41	0.74736	0.6867	0.911862	0.948815	0.09	0.9125	0	0	NA	NA	NA
0.17	-0.017	-0.112	-0.14	-0.93	0.88724	0.37015	0.963401	0.863641	0.53	0.60072	0	0	NA	NA	NA
-0.32	-0.343	-0.68	-0.93	-1.84	0.37035	0.08821	0.697523	0.726289	1.7	0.22022	0	0	NA	NA	NA
0.09	-0.175	-0.114	-1.04	-0.68	0.3169	0.50935	0.655538	0.910959	0.55	0.59058	0	0	NA	NA	NA
-0.33	-0.237	-0.104	-1.49	-0.65	0.1599	0.5241	0.507412	0.913555	1.13	0.35225	0	0	NA	NA	NA
0.31	0.248	0.156	0.87	0.55	0.40016	0.5945	0.717822	0.929083	0.38	0.69067	0	0	NA	NA	NA
-0.63	-0.518	-0.117	-2.72	-0.61	0.01729	0.54926	0.233291	0.917053	4.28	0.03687	0	0	NA	NA	NA
0.25	-0.211	-0.219	-0.93	-0.97	0.36817	0.34981	0.696134	0.855638	0.58	0.57273	0	0	NA	NA	NA
0.13	-0.008	-0.19	-0.05	-1.2	0.95929	0.24963	0.988254	0.814189	1	0.39399	0	0	NA	NA	NA
0.06	0.027	0.068	0.23	0.59	0.82069	0.56535	0.940818	0.921556	0.18	0.83684	0	0	NA	NA	NA
-0.19	0.512	0.375	2.17	1.59	0.04844	0.13493	0.327881	0.759282	2.47	0.12265	0	0	NA	NA	NA
-0.02	-0.06	-0.048	-0.48	-0.39	0.63745	0.70536	0.85853	0.953142	0.13	0.88227	0	0	NA	NA	NA
0.34	-0.232	-0.805	-0.87	-3.01	0.40183	0.00982	0.719525	0.572667	5	0.02399	0	0	NA	NA	NA
0.27	-0.023	-0.151	-0.19	-1.24	0.85231	0.23603	0.95218	0.805611	0.95	0.41124	0	0	NA	NA	NA
-0.24	0.374	0.309	2.15	1.77	0.05057	0.09897	0.334078	0.733948	2.55	0.11526	0	0	NA	NA	NA
-0.13	0.125	0.13	0.78	0.81	0.44764	0.4326	0.750187	0.888424	0.41	0.67327	0	0	NA	NA	NA
0.07	0.073	-0.36	0.2	-1.01	0.84087	0.32967	0.947995	0.847922	0.94	0.41611	0	0	NA	NA	NA
-0.01	0.114	0.13	0.92	1.05	0.37337	0.31025	0.699771	0.841421	0.64	0.54394	0	0	NA	NA	NA
-0.41	0.578	-0.11	1.39	-0.26	0.18804	0.79643	0.538562	0.968278	1.74	0.21382	0	0	NA	NA	NA
-0.02	0.038	-0.031	0.42	-0.34	0.6817	0.73569	0.880636	0.959857	0.33	0.72516	0	0	NA	NA	NA
-0.1	0.023	0.207	0.11	0.98	0.91623	0.34252	0.973256	0.853467	0.62	0.55063	0	0	NA	NA	NA
0.57	0.358	0.413	1.1	1.26	0.29294	0.22762	0.635911	0.801343	0.91	0.42569	0	0	NA	NA	NA
0.28	-0.141	0.163	-0.79	0.91	0.4454	0.37804	0.748975	0.867492	1.63	0.23369	0	0	NA	NA	NA
-0.07	0.117	0.217	0.56	1.03	0.5881	0.3208	0.832462	0.844983	0.53	0.5994	0	0	NA	NA	NA
0.09	0.085	0.148	0.82	1.43	0.42612	0.17467	0.735973	0.775833	1.03	0.38427	0	0	NA	NA	NA
0.33	0.432	0.026	0.97	0.06	0.35054	0.95362	0.682389	0.993848	0.63	0.54601	0	0	NA	NA	NA
-0.07	-0.153	-0.105	-1.2	-0.83	0.25019	0.42374	0.599399	0.885283	0.74	0.49542	0	0	NA	NA	NA
0.08	-0.289	-0.234	-1.76	-1.42	0.10173	0.17791	0.431284	0.777955	1.69	0.222	0	0	NA	NA	NA
0.16	-0.192	0.197	-0.55	0.57	0.58905	0.58004	0.832869	0.926111	0.71	0.51094	0	0	NA	NA	NA
-0.42	0.271	0.037	0.92	0.13	0.37387	0.90211	0.699848	0.986277	0.53	0.59995	0	0	NA	NA	NA
-0.17	-0.095	-0.034	-0.34	-0.12	0.74019	0.9043	0.909062	0.986598	0.06	0.94161	0	0	NA	NA	NA
-0.18	0.364	0.574	0.85	1.35	0.40811	0.20043	0.723454	0.789683	0.92	0.4241	0	0	NA	NA	NA
-0.04	-0.195	-0.282	-0.92	-1.33	0.37451	0.20638	0.700211	0.793738	0.91	0.42766	0	0	NA	NA	NA
0.06	0.135	0.288	0.85	1.82	0.40981	0.09205	0.72451	0.729521	1.67	0.2261	0	0	NA	NA	NA
0.15	0.067	0.186	0.38	1.05	0.71092	0.31411	0.895648	0.842414	0.58	0.57505	0	0	NA	NA	NA
-0.03	0.173	0.131	1.77	1.34	0.10046	0.20133	0.429265	0.790534	1.65	0.22835	0	0	NA	NA	NA
-0.26	-0.477	-0.134	-1.58	-0.44	0.1377	0.66498	0.479255	0.944909	1.38	0.28441	0	0	NA	NA	NA
0.06	-0.248	-0.127	-2.11	-1.08	0.05475	0.29877	0.342509	0.837334	2.22	0.1469	0	0	NA	NA	NA
0.18	0.015	0.346	0.06	1.32	0.95513	0.2092	0.987177	0.793738	1.2	0.33147	0	0	NA	NA	NA
-0.08	0.028	0.927	0.06	2.15	0.94957	0.05076	0.985304	0.691803	3.23	0.07208	0	0	NA	NA	NA
-0.02	0.024	-0.016	0.26	-0.17	0.79553	0.86539	0.931016	0.981182	0.11	0.89763	0	0	NA	NA	NA
-0.12	0.316	0.154	1.84	0.89	0.08871	0.38763	0.407229	0.871205	1.7	0.22035	0	0	NA	NA	NA
0.04	0.052	0.095	0.11	0.2	0.91291	0.84074	0.972221	0.976867	0.02	0.97925	0	0	NA	NA	NA
-0.05	-0.55	-0.448	-2.2	-1.79	0.04588	0.09586	0.320876	0.732531	2.66	0.10683	0	0	NA	NA	NA
0.12	0.085	-0.026	0.74	-0.23	0.47405	0.82445	0.766707	0.974434	0.56	0.58219	0	0	NA	NA	NA
0	-0.15	-0.1	-0.85	-0.57	0.40988	0.57741	0.724592	0.925585	0.37	0.69826	0	0	NA	NA	NA
0.01	0.206	0.042	1.88	0.38	0.08157	0.70819	0.395452	0.953963	2.1	0.16188	0	0	NA	NA	NA
-0.23	-0.373	-0.028	-2.26	-0.17	0.04158	0.86763	0.308384	0.981363	3.39	0.06455	0	0	NA	NA	NA
0.06	0.085	-0.115	0.75	-1.01	0.46583	0.32902	0.761723	0.847922	1.76	0.20959	0	0	NA	NA	NA
0	-0.356	-0.263	-1.71	-1.26	0.11051	0.22831	0.445066	0.801814	1.53	0.25177	0	0	NA	NA	NA
0.22	0.13	0.118	0.69	0.63	0.50031	0.53885	0.78379	0.915622	0.28	0.75738	0	0	NA	NA	NA
-0.06	0.192	0.051	1.3	0.34	0.21636	0.73581	0.565705	0.959857	0.95	0.41332	0	0	NA	NA	NA
-0.05	0.155	0.136	1.12	0.98	0.28153	0.34375	0.626848	0.854107	0.72	0.50353	0	0	NA	NA	NA
0.21	0.166	0.229	1.25	1.72	0.23319	0.10778	0.583702	0.742024	1.55	0.24864	0	0	NA	NA	NA
-0.22	-0.067	-0.04	-0.25	-0.15	0.80903	0.88385	0.936567	0.983966	0.03	0.97003	0	0	NA	NA	NA
0.02	0.127	-0.017	0.75	-0.1	0.4659	0.92007	0.761723	0.988399	0.48	0.63095	0	0	NA	NA	NA
0.1	0.015	-0.004	0.18	-0.05	0.85608	0.96351	0.953582	0.995477	0.03	0.96739	0	0	NA	NA	NA
-0.14	-0.621	-0.552	-3.7	-3.29	0.00258	0.00575	0.123627	0.559457	7.94	0.00538	0	0	NA	NA	NA
-0.04	0.026	-0.036	0.16	-0.22	0.87656	0.83205	0.960469	0.975521	0.08	0.92402	0	0	NA	NA	NA
-0.15	-0.302	-0.162	-1.53	-0.82	0.15023	0.42877	0.493978	0.887287	1.17	0.34141	0	0	NA	NA	NA
