probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
206557_at	-0.350847911325758	6.19681133273913	-3.78281201221815	0.00087830410461342	0.20445995024764	-0.579110381409577	ZNF702P
208934_s_at	0.589487592090909	8.5723301256087	3.79469634285264	0.000852234827471628	0.20445995024764	-0.553452615262255	LGALS8
210896_s_at	-0.303222616666667	7.30914589865217	-3.78646389989192	0.000870211050415892	0.20445995024764	-0.571227534802894	ASPH
214397_at	0.848423139333333	5.83944292495652	3.79200544541469	0.000858070091283196	0.20445995024764	-0.559263316313475	MBD2
209122_at	1.05873847360606	11.2973676853043	3.77828013417379	0.000888450252115959	0.204667472141088	-0.588890970755759	PLIN2
201836_s_at	-0.25441679814394	6.53608557769565	-3.74683165290603	0.000962100947361997	0.211154594356267	-0.656706714246534	SUPT7L
202255_s_at	0.443968209931818	8.0212651396087	3.753791019398	0.000945302558331138	0.211154594356267	-0.641708016293362	SIPA1L1
205769_at	-0.564351775492425	6.76710784630435	-3.75501317028118	0.000942382434233829	0.211154594356267	-0.63907355127211	SLC27A2
209581_at	0.756214473393938	9.34300955304348	3.74201497199477	0.000973898649077063	0.211154594356267	-0.667084630274936	PLA2G16
209682_at	0.786827478825758	8.45121452769565	3.74210010640724	0.000973688897840203	0.211154594356267	-0.666901222305462	CBLB
44783_s_at	0.448483685992424	8.51385283943478	3.75156240768674	0.000950650345766197	0.211154594356267	-0.6465116158805	HEY1
202308_at	0.33690563010606	8.68049872321739	3.71270584434477	0.00104880892351516	0.224449144902159	-0.730180880544734	SREBF1
212873_at	0.729640449393939	8.38696164486957	3.70532075509628	0.00106855880326547	0.224449144902159	-0.746064785305772	HMHA1
213702_x_at	-0.523875388106062	11.0345234178261	-3.70625370105064	0.00106604384623935	0.224449144902159	-0.744058529639275	ASAH1
214657_s_at	0.725527655780303	9.76734579686956	3.70264167991387	0.00107581321996965	0.224449144902159	-0.751825472424107	MIR612 /// NEAT1
205891_at	-0.327316131969698	6.98624229256522	-3.69640163575906	0.00109289782468135	0.225882573764747	-0.765240040164927	ADORA2B
208779_x_at	0.47217564114394	9.66654201069565	3.68770720537539	0.00111714659090288	0.228756452387196	-0.783923628995933	DDR1 /// MIR4640
215528_at	-0.330998916401515	7.590229827	-3.68289805114592	0.00113078506436944	0.229424877968166	-0.794254393511065	
220456_at	0.695422733522727	6.49691234	3.67475468937496	0.00115425219168704	0.230712594565323	-0.811741441215312	SPTLC3
220794_at	0.687276014810607	6.0200158676087	3.6734703171632	0.00115799674414428	0.230712594565323	-0.814498797167771	GREM2
204981_at	-0.405792125553032	7.76076176791304	-3.66725887730724	0.00117627466513365	0.23226173410206	-0.827831103672695	SLC22A18
203086_at	0.547812824772727	6.88727829556522	3.62207064906419	0.00131802243061467	0.257947487195075	-0.924683355134905	KIF2A
209541_at	-0.51403897080303	7.811482752	-3.60915402930731	0.00136152418634922	0.263723847443132	-0.952320684834353	IGF1
